Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
marlenka-torte,Marlenka Torte,<p>Marlenka Torte — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,8594071650025,,shopify,100,deny,manual,12.99,,TRUE,TRUE,8594071650025,,1,Marlenka Torte,FALSE,Marlenka Torte | A&A International Supermarkt,Buy Marlenka Torte at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
halva-aus-sonnenblumenkern,Halva aus sonnenblumenkern,<p>Halva aus sonnenblumenkern — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4820026701264,,shopify,100,deny,manual,2.99,,TRUE,TRUE,4820026701264,,1,Halva aus sonnenblumenkern,FALSE,Halva aus sonnenblumenkern | A&A International Supermarkt,Buy Halva aus sonnenblumenkern at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
kekse-kaelbchen,Kekse Kälbchen,<p>Kekse Kälbchen — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4820002305479,,shopify,100,deny,manual,0.99,,TRUE,TRUE,4820002305479,,1,Kekse Kälbchen,FALSE,Kekse Kälbchen | A&A International Supermarkt,Buy Kekse Kälbchen at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
hefegebaeckringe-mit-vanille,Hefegebäckringe mit vanille,<p>Hefegebäckringe mit vanille — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4030957761132,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957761132,,1,Hefegebäckringe mit vanille,FALSE,Hefegebäckringe mit vanille | A&A International Supermarkt,Buy Hefegebäckringe mit vanille at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
hirse,Hirse,<p>Hirse — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561374,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957561374,,1,Hirse,FALSE,Hirse | A&A International Supermarkt,Buy Hirse at A&A International Supermarkt. Packaged Goods — authentic international products.,active
buchweizen,Buchweizen,<p>Buchweizen — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561305,,shopify,100,deny,manual,2.49,,TRUE,TRUE,4030957561305,,1,Buchweizen,FALSE,Buchweizen | A&A International Supermarkt,Buy Buchweizen at A&A International Supermarkt. Packaged Goods — authentic international products.,active
vegeta,Vegeta,<p>Vegeta — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,3850104008597,,shopify,100,deny,manual,2.49,,TRUE,TRUE,3850104008597,,1,Vegeta,FALSE,Vegeta | A&A International Supermarkt,Buy Vegeta at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
maisgruetze,Maisgrütze,<p>Maisgrütze — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561350,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957561350,,1,Maisgrütze,FALSE,Maisgrütze | A&A International Supermarkt,Buy Maisgrütze at A&A International Supermarkt. Packaged Goods — authentic international products.,active
weise-bohnen,Weise Bohnen,<p>Weise Bohnen — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561466,,shopify,100,deny,manual,2.49,,TRUE,TRUE,4030957561466,,1,Weise Bohnen,FALSE,Weise Bohnen | A&A International Supermarkt,Buy Weise Bohnen at A&A International Supermarkt. Packaged Goods — authentic international products.,active
wizengries,Wizengries,<p>Wizengries — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561343,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957561343,,1,Wizengries,FALSE,Wizengries | A&A International Supermarkt,Buy Wizengries at A&A International Supermarkt. Packaged Goods — authentic international products.,active
suessgebaeck,Süssgebäck,<p>Süssgebäck — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4030957781086,,shopify,100,deny,manual,1.49,,TRUE,TRUE,4030957781086,,1,Süssgebäck,FALSE,Süssgebäck | A&A International Supermarkt,Buy Süssgebäck at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
sonnenblumen-kern-gesalzt,Sonnenblumen kern gesalzt,<p>Sonnenblumen kern gesalzt — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4607054451831,,shopify,100,deny,manual,2.79,,TRUE,TRUE,4607054451831,,1,Sonnenblumen kern gesalzt,FALSE,Sonnenblumen kern gesalzt | A&A International Supermarkt,Buy Sonnenblumen kern gesalzt at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
sonnenblumenkern-ungesalzt-xxl,Sonnenblumenkern ungesalzt XXL,<p>Sonnenblumenkern ungesalzt XXL — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4607054451732,,shopify,100,deny,manual,4.79,,TRUE,TRUE,4607054451732,,1,Sonnenblumenkern ungesalzt XXL,FALSE,Sonnenblumenkern ungesalzt XXL | A&A International Supermarkt,Buy Sonnenblumenkern ungesalzt XXL at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
dorschleber-im-eigenem-saft,Dorschleber im eigenem Saft,<p>Dorschleber im eigenem Saft — Fish & Seafood</p>,A&A International Supermarkt,Food & Grocery,Fish & Seafood,"fish,-seafood",TRUE,Size,Stk,4030011310528,,shopify,100,deny,manual,2.05,,TRUE,TRUE,4030011310528,,1,Dorschleber im eigenem Saft,FALSE,Dorschleber im eigenem Saft | A&A International Supermarkt,Buy Dorschleber im eigenem Saft at A&A International Supermarkt. Fish & Seafood — authentic international products.,active
erbsen-halbiert,Erbsen Halbiert,<p>Erbsen Halbiert — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561398,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957561398,,1,Erbsen Halbiert,FALSE,Erbsen Halbiert | A&A International Supermarkt,Buy Erbsen Halbiert at A&A International Supermarkt. Packaged Goods — authentic international products.,active
haferflocken,Haferflocken,<p>Haferflocken — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,4030957561381,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957561381,,1,Haferflocken,FALSE,Haferflocken | A&A International Supermarkt,Buy Haferflocken at A&A International Supermarkt. Packaged Goods — authentic international products.,active
gebratene-auberginen,Gebratene Auberginen,<p>Gebratene Auberginen — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011350074,,shopify,100,deny,manual,3.59,,TRUE,TRUE,4030011350074,,1,Gebratene Auberginen,FALSE,Gebratene Auberginen | A&A International Supermarkt,Buy Gebratene Auberginen at A&A International Supermarkt. Canned Goods — authentic international products.,active
gemuessesalat-belozerkowskij,Gemüssesalat Belozerkowskij,<p>Gemüssesalat Belozerkowskij — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011350012,,shopify,100,deny,manual,2.99,,TRUE,TRUE,4030011350012,,1,Gemüssesalat Belozerkowskij,FALSE,Gemüssesalat Belozerkowskij | A&A International Supermarkt,Buy Gemüssesalat Belozerkowskij at A&A International Supermarkt. Canned Goods — authentic international products.,active
gemuesemischung-sommer,Gemüsemischung Sommer,<p>Gemüsemischung Sommer — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011350258,,shopify,100,deny,manual,4.79,,TRUE,TRUE,4030011350258,,1,Gemüsemischung Sommer,FALSE,Gemüsemischung Sommer | A&A International Supermarkt,Buy Gemüsemischung Sommer at A&A International Supermarkt. Canned Goods — authentic international products.,active
4033443822003,4033443822003,<p>4033443822003 — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,2377772003620,,shopify,100,deny,manual,3.59,,TRUE,TRUE,2377772003620,,1,4033443822003,FALSE,4033443822003 | A&A International Supermarkt,Buy 4033443822003 at A&A International Supermarkt. Canned Goods — authentic international products.,active
auberginen-salat-mit-gemuesse,Auberginen Salat mit Gemüsse,<p>Auberginen Salat mit Gemüsse — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011350098,,shopify,100,deny,manual,3.59,,TRUE,TRUE,4030011350098,,1,Auberginen Salat mit Gemüsse,FALSE,Auberginen Salat mit Gemüsse | A&A International Supermarkt,Buy Auberginen Salat mit Gemüsse at A&A International Supermarkt. Canned Goods — authentic international products.,active
borschtsch-rote-bete,Borschtsch Rote Bete,<p>Borschtsch Rote Bete — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011400014,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030011400014,,1,Borschtsch Rote Bete,FALSE,Borschtsch Rote Bete | A&A International Supermarkt,Buy Borschtsch Rote Bete at A&A International Supermarkt. Canned Goods — authentic international products.,active
patissonen,Patissonen,<p>Patissonen — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957371409,,shopify,100,deny,manual,2.59,,TRUE,TRUE,4030957371409,,1,Patissonen,FALSE,Patissonen | A&A International Supermarkt,Buy Patissonen at A&A International Supermarkt. Canned Goods — authentic international products.,active
kartoffel-eintopf-mit-gemuesse,Kartoffel eintopf mit Gemüsse,<p>Kartoffel eintopf mit Gemüsse — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011400038,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030011400038,,1,Kartoffel eintopf mit Gemüsse,FALSE,Kartoffel eintopf mit Gemüsse | A&A International Supermarkt,Buy Kartoffel eintopf mit Gemüsse at A&A International Supermarkt. Canned Goods — authentic international products.,active
sauerampfer,Sauerampfer,<p>Sauerampfer — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957371003,,shopify,100,deny,manual,1.19,,TRUE,TRUE,4030957371003,,1,Sauerampfer,FALSE,Sauerampfer | A&A International Supermarkt,Buy Sauerampfer at A&A International Supermarkt. Canned Goods — authentic international products.,active
auberginen-in-scharf,Auberginen in Scharf,<p>Auberginen in Scharf — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011350227,,shopify,100,deny,manual,3.99,,TRUE,TRUE,4030011350227,,1,Auberginen in Scharf,FALSE,Auberginen in Scharf | A&A International Supermarkt,Buy Auberginen in Scharf at A&A International Supermarkt. Canned Goods — authentic international products.,active
rote-bette-meerettich,Rote bette meerettich,<p>Rote bette meerettich — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011460209,,shopify,100,deny,manual,1.49,,TRUE,TRUE,4030011460209,,1,Rote bette meerettich,FALSE,Rote bette meerettich | A&A International Supermarkt,Buy Rote bette meerettich at A&A International Supermarkt. Canned Goods — authentic international products.,active
tafel-meerrettich,Tafel Meerrettich,<p>Tafel Meerrettich — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011460100,,shopify,100,deny,manual,1.49,,TRUE,TRUE,4030011460100,,1,Tafel Meerrettich,FALSE,Tafel Meerrettich | A&A International Supermarkt,Buy Tafel Meerrettich at A&A International Supermarkt. Canned Goods — authentic international products.,active
karamellisiertes-kondensmilch,Karamellisiertes Kondensmilch,<p>Karamellisiertes Kondensmilch — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011300123,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4030011300123,,1,Karamellisiertes Kondensmilch,FALSE,Karamellisiertes Kondensmilch | A&A International Supermarkt,Buy Karamellisiertes Kondensmilch at A&A International Supermarkt. Canned Goods — authentic international products.,active
gezuckerte-kondensmilch,Gezuckerte Kondensmilch,<p>Gezuckerte Kondensmilch — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011300147,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4030011300147,,1,Gezuckerte Kondensmilch,FALSE,Gezuckerte Kondensmilch | A&A International Supermarkt,Buy Gezuckerte Kondensmilch at A&A International Supermarkt. Canned Goods — authentic international products.,active
gezuckerte-kondenmilch-steinhauer,Gezuckerte kondenmilch Steinhauer,<p>Gezuckerte kondenmilch Steinhauer — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011300116,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4030011300116,,1,Gezuckerte kondenmilch Steinhauer,FALSE,Gezuckerte kondenmilch Steinhauer | A&A International Supermarkt,Buy Gezuckerte kondenmilch Steinhauer at A&A International Supermarkt. Canned Goods — authentic international products.,active
gemuesesalat-dunaiskij,Gemüsesalat Dunaiskij,<p>Gemüsesalat Dunaiskij — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011350197,,shopify,100,deny,manual,2.99,,TRUE,TRUE,4030011350197,,1,Gemüsesalat Dunaiskij,FALSE,Gemüsesalat Dunaiskij | A&A International Supermarkt,Buy Gemüsesalat Dunaiskij at A&A International Supermarkt. Canned Goods — authentic international products.,active
eingelegte-tomaten,Eingelegte Tomaten,<p>Eingelegte Tomaten — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011500028,,shopify,100,deny,manual,3.49,,TRUE,TRUE,4030011500028,,1,Eingelegte Tomaten,FALSE,Eingelegte Tomaten | A&A International Supermarkt,Buy Eingelegte Tomaten at A&A International Supermarkt. Canned Goods — authentic international products.,active
sefir-vanille-erbeer-geschmack,sefir Vanille Erbeer Geschmack,<p>sefir Vanille Erbeer Geschmack — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4030957841087,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957841087,,1,sefir Vanille Erbeer Geschmack,FALSE,sefir Vanille Erbeer Geschmack | A&A International Supermarkt,Buy sefir Vanille Erbeer Geschmack at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
eingelegte-tomaten-scharf,Eingelegte Tomaten Scharf,<p>Eingelegte Tomaten Scharf — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011500042,,shopify,100,deny,manual,3.49,,TRUE,TRUE,4030011500042,,1,Eingelegte Tomaten Scharf,FALSE,Eingelegte Tomaten Scharf | A&A International Supermarkt,Buy Eingelegte Tomaten Scharf at A&A International Supermarkt. Canned Goods — authentic international products.,active
letscho-paprikazubereitung,Letscho Paprikazubereitung,<p>Letscho Paprikazubereitung — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011410303,,shopify,100,deny,manual,3.59,,TRUE,TRUE,4030011410303,,1,Letscho Paprikazubereitung,FALSE,Letscho Paprikazubereitung | A&A International Supermarkt,Buy Letscho Paprikazubereitung at A&A International Supermarkt. Canned Goods — authentic international products.,active
gemuesezubereitung-zuchini,Gemüsezubereitung zuchini,<p>Gemüsezubereitung zuchini — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011420319,,shopify,100,deny,manual,3.19,,TRUE,TRUE,4030011420319,,1,Gemüsezubereitung zuchini,FALSE,Gemüsezubereitung zuchini | A&A International Supermarkt,Buy Gemüsezubereitung zuchini at A&A International Supermarkt. Canned Goods — authentic international products.,active
gemuesezubereitung-aus-auberginen,Gemüsezubereitung aus Auberginen,<p>Gemüsezubereitung aus Auberginen — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011420302,,shopify,100,deny,manual,3.19,,TRUE,TRUE,4030011420302,,1,Gemüsezubereitung aus Auberginen,FALSE,Gemüsezubereitung aus Auberginen | A&A International Supermarkt,Buy Gemüsezubereitung aus Auberginen at A&A International Supermarkt. Canned Goods — authentic international products.,active
melonenkuerbisbpueree,Melonenkürbisbpüree,<p>Melonenkürbisbpüree — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,2377772003804,,shopify,100,deny,manual,2.29,,TRUE,TRUE,2377772003804,,1,Melonenkürbisbpüree,FALSE,Melonenkürbisbpüree | A&A International Supermarkt,Buy Melonenkürbisbpüree at A&A International Supermarkt. Canned Goods — authentic international products.,active
melonenkuerbispueree,Melonenkürbispüree,<p>Melonenkürbispüree — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011420012,,shopify,100,deny,manual,2.29,,TRUE,TRUE,4030011420012,,1,Melonenkürbispüree,FALSE,Melonenkürbispüree | A&A International Supermarkt,Buy Melonenkürbispüree at A&A International Supermarkt. Canned Goods — authentic international products.,active
auberginenpueree,Auberginenpüree,<p>Auberginenpüree — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011420418,,shopify,100,deny,manual,2.29,,TRUE,TRUE,4030011420418,,1,Auberginenpüree,FALSE,Auberginenpüree | A&A International Supermarkt,Buy Auberginenpüree at A&A International Supermarkt. Canned Goods — authentic international products.,active
erdnusskonfekt,Erdnusskonfekt,<p>Erdnusskonfekt — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4607117890973,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4607117890973,,1,Erdnusskonfekt,FALSE,Erdnusskonfekt | A&A International Supermarkt,Buy Erdnusskonfekt at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
shiitake-in-wuezigem-aufguss,Shiitake in Wüzigem aufguss,<p>Shiitake in Wüzigem aufguss — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011550115,,shopify,100,deny,manual,2.39,,TRUE,TRUE,4030011550115,,1,Shiitake in Wüzigem aufguss,FALSE,Shiitake in Wüzigem aufguss | A&A International Supermarkt,Buy Shiitake in Wüzigem aufguss at A&A International Supermarkt. Canned Goods — authentic international products.,active
konfekt-mit-sahnegeschmack,Konfekt mit Sahnegeschmack,<p>Konfekt mit Sahnegeschmack — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4030957921123,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957921123,,1,Konfekt mit Sahnegeschmack,FALSE,Konfekt mit Sahnegeschmack | A&A International Supermarkt,Buy Konfekt mit Sahnegeschmack at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
fodant-konfekt,Fodant Konfekt,<p>Fodant Konfekt — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4607117890690,,shopify,100,deny,manual,1.69,,TRUE,TRUE,4607117890690,,1,Fodant Konfekt,FALSE,Fodant Konfekt | A&A International Supermarkt,Buy Fodant Konfekt at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
hematogenas,Hematogenas,<p>Hematogenas — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4030957871015,,shopify,100,deny,manual,0.99,,TRUE,TRUE,4030957871015,,1,Hematogenas,FALSE,Hematogenas | A&A International Supermarkt,Buy Hematogenas at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
kakao-riegel,Kakao Riegel,<p>Kakao Riegel — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4600823031098,,shopify,100,deny,manual,0.89,,TRUE,TRUE,4600823031098,,1,Kakao Riegel,FALSE,Kakao Riegel | A&A International Supermarkt,Buy Kakao Riegel at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
kakao,Kakao,<p>Kakao — Snacks & Sweets</p>,A&A International Supermarkt,Food & Grocery,Snacks & Sweets,"snacks,-sweets",TRUE,Size,Stk,4600823030091,,shopify,100,deny,manual,0.89,,TRUE,TRUE,4600823030091,,1,Kakao,FALSE,Kakao | A&A International Supermarkt,Buy Kakao at A&A International Supermarkt. Snacks & Sweets — authentic international products.,active
eingelegte-gurken-zakska,Eingelegte Gurken Zakska,<p>Eingelegte Gurken Zakska — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957511126,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4030957511126,,1,Eingelegte Gurken Zakska,FALSE,Eingelegte Gurken Zakska | A&A International Supermarkt,Buy Eingelegte Gurken Zakska at A&A International Supermarkt. Canned Goods — authentic international products.,active
eingelegte-gurken-botchkovije,Eingelegte Gurken Botchkovije,<p>Eingelegte Gurken Botchkovije — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957511102,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4030957511102,,1,Eingelegte Gurken Botchkovije,FALSE,Eingelegte Gurken Botchkovije | A&A International Supermarkt,Buy Eingelegte Gurken Botchkovije at A&A International Supermarkt. Canned Goods — authentic international products.,active
eingelegte-gurken-malosolnije-mit-dill,Eingelegte Gurken Malosolnije mit Dill,<p>Eingelegte Gurken Malosolnije mit Dill — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957511218,,shopify,100,deny,manual,2.09,,TRUE,TRUE,4030957511218,,1,Eingelegte Gurken Malosolnije mit Dill,FALSE,Eingelegte Gurken Malosolnije mit Dill | A&A International Supermarkt,Buy Eingelegte Gurken Malosolnije mit Dill at A&A International Supermarkt. Canned Goods — authentic international products.,active
lachs-stuecke,Lachs stücke,<p>Lachs stücke — Fish & Seafood</p>,A&A International Supermarkt,Food & Grocery,Fish & Seafood,"fish,-seafood",TRUE,Size,Stk,4751005700810,,shopify,100,deny,manual,2.99,,TRUE,TRUE,4751005700810,,1,Lachs stücke,FALSE,Lachs stücke | A&A International Supermarkt,Buy Lachs stücke at A&A International Supermarkt. Fish & Seafood — authentic international products.,active
gebratne-sprotten,Gebratne Sprotten,<p>Gebratne Sprotten — Fish & Seafood</p>,A&A International Supermarkt,Food & Grocery,Fish & Seafood,"fish,-seafood",TRUE,Size,Stk,4030011310054,,shopify,100,deny,manual,1.79,,TRUE,TRUE,4030011310054,,1,Gebratne Sprotten,FALSE,Gebratne Sprotten | A&A International Supermarkt,Buy Gebratne Sprotten at A&A International Supermarkt. Fish & Seafood — authentic international products.,active
geraeucherte-sprotten,Geräucherte Sprotten,<p>Geräucherte Sprotten — Fish & Seafood</p>,A&A International Supermarkt,Food & Grocery,Fish & Seafood,"fish,-seafood",TRUE,Size,Stk,4030011310412,,shopify,100,deny,manual,2.15,,TRUE,TRUE,4030011310412,,1,Geräucherte Sprotten,FALSE,Geräucherte Sprotten | A&A International Supermarkt,Buy Geräucherte Sprotten at A&A International Supermarkt. Fish & Seafood — authentic international products.,active
chillizubereitung-mit-knoblauch,Chillizubereitung mit Knoblauch,<p>Chillizubereitung mit Knoblauch — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957431301,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957431301,,1,Chillizubereitung mit Knoblauch,FALSE,Chillizubereitung mit Knoblauch | A&A International Supermarkt,Buy Chillizubereitung mit Knoblauch at A&A International Supermarkt. Canned Goods — authentic international products.,active
scharfe-tomatensauce-meerettich,Scharfe Tomatensauce meerettich,<p>Scharfe Tomatensauce meerettich — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957431707,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957431707,,1,Scharfe Tomatensauce meerettich,FALSE,Scharfe Tomatensauce meerettich | A&A International Supermarkt,Buy Scharfe Tomatensauce meerettich at A&A International Supermarkt. Canned Goods — authentic international products.,active
chinesische-stockschwaemchen,Chinesische Stockschwämchen,<p>Chinesische Stockschwämchen — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030011550207,,shopify,100,deny,manual,2.89,,TRUE,TRUE,4030011550207,,1,Chinesische Stockschwämchen,FALSE,Chinesische Stockschwämchen | A&A International Supermarkt,Buy Chinesische Stockschwämchen at A&A International Supermarkt. Canned Goods — authentic international products.,active
eingelegte-cherry-tomaten,Eingelegte Cherry Tomaten,<p>Eingelegte Cherry Tomaten — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4030957501004,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4030957501004,,1,Eingelegte Cherry Tomaten,FALSE,Eingelegte Cherry Tomaten | A&A International Supermarkt,Buy Eingelegte Cherry Tomaten at A&A International Supermarkt. Canned Goods — authentic international products.,active
karottensalat,Karottensalat,<p>Karottensalat — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4033443092161,,shopify,100,deny,manual,3.19,,TRUE,TRUE,4033443092161,,1,Karottensalat,FALSE,Karottensalat | A&A International Supermarkt,Buy Karottensalat at A&A International Supermarkt. Canned Goods — authentic international products.,active
meeresalgensalat,Meeresalgensalat,<p>Meeresalgensalat — Canned Goods</p>,A&A International Supermarkt,Food & Grocery,Canned Goods,canned-goods,TRUE,Size,Stk,4033443082056,,shopify,100,deny,manual,2.79,,TRUE,TRUE,4033443082056,,1,Meeresalgensalat,FALSE,Meeresalgensalat | A&A International Supermarkt,Buy Meeresalgensalat at A&A International Supermarkt. Canned Goods — authentic international products.,active
mayonese,Mayonese,<p>Mayonese — Sauces & Condiments</p>,A&A International Supermarkt,Food & Grocery,Sauces & Condiments,"sauces,-condiments",TRUE,Size,Stk,4604248000844,,shopify,100,deny,manual,2.29,,TRUE,TRUE,4604248000844,,1,Mayonese,FALSE,Mayonese | A&A International Supermarkt,Buy Mayonese at A&A International Supermarkt. Sauces & Condiments — authentic international products.,active
